日期,学生ID,消费类型,消费金额,支付方式
2026-03-14,S010,食堂,14.12,校园卡
2026-03-14,S069,食堂,13.31,微信
2026-03-14,S085,超市,62.15,支付宝
2026-03-14,S035,食堂,18.37,校园卡
2026-03-14,S022,食堂,27.74,微信
2026-03-14,S002,图书文具,56.30,支付宝
2026-03-15,S071,体育健身,102.31,银行卡
2026-03-15,S007,校园交通,1.76,校园卡
2026-03-15,S116,超市,56.33,支付宝
2026-03-15,S069,水果店,23.06,校园卡
2026-03-15,S050,超市,32.82,支付宝
2026-03-15,S073,体育健身,118.55,微信
2026-03-15,S096,水果店,13.88,微信
2026-03-15,S092,水果店,32.67,微信
2026-03-15,S110,体育健身,80.87,支付宝
2026-03-15,S064,超市,25.68,银行卡
2026-03-15,S059,水果店,21.30,微信
2026-03-16,S020,超市,40.71,支付宝
2026-03-16,S041,食堂,11.78,校园卡
2026-03-16,S085,食堂,14.99,校园卡
2026-03-16,S038,图书文具,16.73,校园卡
2026-03-16,S040,校园交通,2.89,校园卡
2026-03-16,S033,食堂,14.48,校园卡
2026-03-16,S023,饮料,5.86,校园卡
2026-03-16,S031,食堂,15.48,支付宝
2026-03-16,S022,超市,20.12,校园卡
2026-03-16,S041,打印复印,6.56,支付宝
2026-03-16,S092,超市,21.93,校园卡
2026-03-16,S029,水果店,17.48,支付宝
2026-03-16,S093,水果店,19.36,微信
2026-03-16,S020,超市,6.05,支付宝
2026-03-16,S118,食堂,17.85,银行卡
2026-03-16,S059,打印复印,9.63,微信
2026-03-16,S013,饮料,8.24,支付宝
2026-03-17,S042,食堂,18.02,校园卡
2026-03-17,S009,校园交通,5.30,校园卡
2026-03-17,S046,图书文具,8.74,微信
2026-03-17,S004,水果店,29.35,微信
2026-03-17,S021,水果店,10.92,微信
2026-03-17,S012,水果店,20.11,校园卡
2026-03-17,S085,食堂,28.09,微信
2026-03-17,S050,食堂,21.98,支付宝
2026-03-17,S108,饮料,4.74,校园卡
2026-03-17,S047,食堂,21.88,校园卡
2026-03-17,S110,食堂,13.02,微信
2026-03-17,S097,超市,50.79,支付宝
2026-03-17,S082,图书文具,39.01,校园卡
2026-03-17,S071,超市,50.60,微信
2026-03-17,S042,打印复印,3.51,银行卡
2026-03-17,S052,水果店,11.73,银行卡
2026-03-17,S075,食堂,11.69,校园卡
2026-03-18,S076,食堂,10.54,微信
2026-03-18,S097,饮料,7.26,校园卡
2026-03-18,S045,食堂,8.27,校园卡
2026-03-18,S109,食堂,17.04,支付宝
2026-03-18,S023,校园交通,3.36,校园卡
2026-03-18,S012,体育健身,98.50,微信
2026-03-18,S099,打印复印,5.50,微信
2026-03-18,S033,校园交通,3.63,微信
2026-03-18,S005,校园交通,3.50,支付宝
2026-03-18,S035,打印复印,4.61,校园卡
2026-03-18,S001,水果店,11.75,校园卡
2026-03-18,S059,水果店,17.97,微信
2026-03-18,S101,食堂,15.24,微信
2026-03-18,S105,图书文具,8.43,微信
2026-03-18,S022,水果店,17.81,微信
2026-03-18,S033,饮料,3.33,校园卡
2026-03-18,S101,食堂,13.25,微信
2026-03-19,S088,体育健身,33.13,支付宝
2026-03-19,S088,校园交通,1.00,校园卡
2026-03-19,S083,食堂,13.03,校园卡
2026-03-19,S069,水果店,23.00,校园卡
2026-03-19,S029,饮料,4.33,校园卡
2026-03-19,S006,校园交通,2.19,校园卡
2026-03-19,S033,食堂,10.80,微信
2026-03-19,S055,食堂,9.64,银行卡
2026-03-19,S065,水果店,20.03,支付宝
2026-03-19,S039,食堂,9.60,微信
2026-03-19,S072,食堂,16.28,微信
2026-03-19,S073,超市,40.30,微信
2026-03-19,S012,校园交通,2.86,微信
2026-03-19,S089,超市,32.34,微信
2026-03-19,S013,超市,50.40,支付宝
2026-03-19,S013,食堂,12.31,校园卡
2026-03-19,S064,校园交通,2.34,微信
2026-03-20,S010,食堂,9.60,微信
2026-03-20,S037,超市,38.89,微信
2026-03-20,S047,食堂,17.68,支付宝
2026-03-20,S029,超市,54.54,银行卡
2026-03-20,S052,食堂,12.75,校园卡
2026-03-20,S069,食堂,19.44,校园卡
2026-03-20,S055,食堂,10.30,微信
2026-03-20,S012,食堂,10.01,支付宝
2026-03-20,S054,打印复印,1.89,校园卡
2026-03-20,S050,超市,26.43,支付宝
2026-03-20,S092,校园交通,5.98,银行卡
2026-03-20,S093,饮料,7.38,微信
2026-03-20,S015,食堂,20.13,微信
2026-03-20,S097,食堂,16.46,校园卡
2026-03-20,S073,食堂,10.21,校园卡
2026-03-20,S050,超市,9.57,微信
2026-03-20,S083,超市,48.86,支付宝
2026-03-20,S014,食堂,26.71,校园卡
2026-03-21,S109,超市,20.59,支付宝
2026-03-21,S084,饮料,7.65,校园卡
2026-03-21,S013,食堂,13.15,微信
2026-03-21,S035,图书文具,41.94,支付宝
2026-03-21,S024,体育健身,116.06,支付宝
2026-03-21,S119,食堂,15.97,银行卡
2026-03-21,S118,校园交通,3.67,微信
2026-03-21,S091,图书文具,19.63,支付宝
2026-03-21,S035,校园交通,3.91,校园卡
2026-03-21,S067,图书文具,25.37,校园卡
2026-03-21,S036,校园交通,4.19,支付宝
2026-03-22,S002,打印复印,9.70,校园卡
2026-03-22,S084,食堂,15.69,校园卡
2026-03-22,S111,水果店,40.62,支付宝
2026-03-22,S103,超市,19.28,银行卡
2026-03-22,S100,超市,41.90,支付宝
2026-03-22,S112,超市,60.72,支付宝
2026-03-22,S054,超市,44.44,银行卡
2026-03-22,S006,水果店,18.00,校园卡
2026-03-22,S076,校园交通,1.00,校园卡
2026-03-22,S037,超市,59.08,校园卡
2026-03-22,S045,水果店,15.86,微信
2026-03-23,S040,超市,42.09,校园卡
2026-03-23,S116,超市,50.10,支付宝
2026-03-23,S072,超市,16.55,微信
2026-03-23,S030,水果店,14.42,校园卡
2026-03-23,S047,校园交通,1.04,银行卡
2026-03-23,S018,饮料,8.99,微信
2026-03-23,S061,超市,28.15,微信
2026-03-23,S063,食堂,11.73,支付宝
2026-03-23,S120,食堂,5.65,银行卡
2026-03-23,S003,图书文具,18.78,校园卡
2026-03-23,S113,图书文具,42.45,支付宝
2026-03-23,S028,食堂,11.71,微信
2026-03-23,S074,超市,24.92,微信
2026-03-23,S021,食堂,14.25,微信
2026-03-23,S068,食堂,15.47,校园卡
2026-03-23,S054,校园交通,2.99,校园卡
2026-03-23,S087,食堂,5.39,微信
2026-03-23,S043,食堂,21.27,校园卡
2026-03-23,S091,打印复印,6.09,支付宝
2026-03-23,S100,图书文具,3.00,微信
2026-03-24,S051,饮料,4.88,微信
2026-03-24,S078,超市,21.67,支付宝
2026-03-24,S091,食堂,22.62,微信
2026-03-24,S076,打印复印,2.20,银行卡
2026-03-24,S003,食堂,8.96,校园卡
2026-03-24,S022,食堂,12.82,支付宝
2026-03-24,S075,校园交通,1.00,校园卡
2026-03-24,S030,超市,15.83,微信
2026-03-24,S031,食堂,30.08,微信
2026-03-24,S054,食堂,18.72,微信
2026-03-24,S034,食堂,15.35,微信
2026-03-24,S074,打印复印,2.66,校园卡
2026-03-24,S077,食堂,21.00,支付宝
2026-03-24,S093,超市,11.63,银行卡
2026-03-24,S071,食堂,20.01,微信
2026-03-24,S069,打印复印,2.72,支付宝
2026-03-24,S075,食堂,8.23,微信
2026-03-24,S080,食堂,14.39,微信
2026-03-24,S060,食堂,14.99,微信
2026-03-25,S076,饮料,7.96,支付宝
2026-03-25,S094,打印复印,9.10,支付宝
2026-03-25,S006,食堂,10.94,校园卡
2026-03-25,S045,食堂,14.32,校园卡
2026-03-25,S064,图书文具,68.79,支付宝
2026-03-25,S067,打印复印,0.50,微信
2026-03-25,S048,食堂,19.93,校园卡
2026-03-25,S084,超市,28.92,校园卡
2026-03-25,S110,食堂,14.37,支付宝
2026-03-25,S005,食堂,20.35,支付宝
2026-03-25,S118,超市,6.00,微信
2026-03-25,S052,超市,33.55,校园卡
2026-03-25,S073,水果店,11.59,支付宝
2026-03-25,S059,图书文具,38.64,支付宝
2026-03-25,S040,超市,43.86,校园卡
2026-03-25,S104,饮料,7.49,银行卡
2026-03-25,S050,食堂,10.42,银行卡
2026-03-25,S016,超市,48.47,支付宝
2026-03-25,S087,校园交通,3.28,银行卡
2026-03-26,S038,打印复印,3.47,校园卡
2026-03-26,S099,图书文具,29.71,微信
2026-03-26,S034,食堂,14.94,校园卡
2026-03-26,S027,食堂,11.25,微信
2026-03-26,S020,食堂,15.47,支付宝
2026-03-26,S022,打印复印,3.93,校园卡
2026-03-26,S091,超市,40.87,微信
2026-03-26,S058,食堂,18.94,校园卡
2026-03-26,S016,饮料,10.63,支付宝
2026-03-26,S004,食堂,22.65,微信
2026-03-26,S015,图书文具,57.06,微信
2026-03-26,S120,食堂,14.59,微信
2026-03-26,S003,食堂,21.39,银行卡
2026-03-26,S001,超市,60.09,银行卡
2026-03-26,S031,食堂,21.79,校园卡
2026-03-26,S023,食堂,12.10,微信
2026-03-26,S107,超市,30.44,支付宝
2026-03-27,S056,饮料,5.26,支付宝
2026-03-27,S103,食堂,14.41,微信
2026-03-27,S017,体育健身,17.30,微信
2026-03-27,S043,食堂,19.61,银行卡
2026-03-27,S102,打印复印,2.07,校园卡
2026-03-27,S049,食堂,7.12,支付宝
2026-03-27,S104,食堂,15.63,微信
2026-03-27,S022,食堂,22.02,校园卡
2026-03-27,S113,打印复印,7.57,支付宝
2026-03-27,S039,食堂,15.90,支付宝
2026-03-27,S101,食堂,15.84,微信
2026-03-27,S101,超市,35.32,校园卡
2026-03-27,S107,食堂,13.12,银行卡
2026-03-27,S068,食堂,14.46,校园卡
2026-03-27,S076,水果店,29.03,校园卡
2026-03-27,S119,饮料,4.63,校园卡
2026-03-27,S093,食堂,14.92,支付宝
2026-03-27,S060,超市,40.15,微信
2026-03-27,S049,食堂,17.07,校园卡
2026-03-28,S022,体育健身,64.52,银行卡
2026-03-28,S003,水果店,18.89,校园卡
2026-03-28,S071,食堂,23.10,支付宝
2026-03-28,S096,校园交通,6.10,支付宝
2026-03-28,S092,超市,26.38,微信
2026-03-28,S060,超市,41.78,微信
2026-03-28,S051,超市,25.58,银行卡
2026-03-28,S062,图书文具,40.25,支付宝
2026-03-28,S019,超市,42.96,微信
2026-03-28,S056,食堂,10.30,校园卡
2026-03-28,S062,水果店,6.27,微信
2026-03-29,S013,超市,28.25,支付宝
2026-03-29,S069,食堂,17.64,校园卡
2026-03-29,S112,体育健身,43.96,微信
2026-03-29,S003,食堂,15.81,支付宝
2026-03-29,S041,超市,11.43,微信
2026-03-29,S092,食堂,24.61,微信
2026-03-29,S071,食堂,13.59,支付宝
2026-03-29,S045,超市,24.48,微信
2026-03-29,S061,食堂,18.46,校园卡
2026-03-29,S060,超市,49.26,校园卡
2026-03-29,S033,体育健身,56.55,校园卡
2026-03-29,S011,超市,24.29,支付宝
2026-03-30,S010,饮料,7.70,支付宝
2026-03-30,S037,食堂,13.00,微信
2026-03-30,S013,超市,16.20,微信
2026-03-30,S096,校园交通,3.73,校园卡
2026-03-30,S009,饮料,7.48,微信
2026-03-30,S047,超市,42.40,微信
2026-03-30,S012,图书文具,39.22,银行卡
2026-03-30,S061,食堂,14.96,微信
2026-03-30,S018,图书文具,45.19,银行卡
2026-03-30,S073,食堂,18.88,微信
2026-03-30,S010,食堂,17.31,支付宝
2026-03-30,S039,食堂,14.72,校园卡
2026-03-30,S055,食堂,13.54,银行卡
2026-03-30,S079,水果店,8.37,微信
2026-03-30,S047,食堂,24.88,微信
2026-03-30,S073,水果店,31.56,微信
2026-03-31,S046,食堂,15.62,校园卡
2026-03-31,S119,食堂,15.74,支付宝
2026-03-31,S024,打印复印,1.40,支付宝
2026-03-31,S082,校园交通,4.31,微信
2026-03-31,S020,超市,30.35,校园卡
2026-03-31,S043,食堂,14.53,银行卡
2026-03-31,S074,食堂,17.26,支付宝
2026-03-31,S091,饮料,11.33,微信
2026-03-31,S102,食堂,7.12,校园卡
2026-03-31,S046,食堂,22.54,银行卡
2026-03-31,S114,图书文具,3.00,微信
2026-03-31,S046,超市,39.56,微信
2026-03-31,S012,水果店,5.66,校园卡
2026-03-31,S101,水果店,11.47,微信
2026-03-31,S021,打印复印,8.12,微信
2026-03-31,S031,食堂,9.64,校园卡
2026-03-31,S113,食堂,15.64,支付宝
2026-03-31,S058,校园交通,4.94,校园卡
2026-04-01,S075,食堂,23.09,微信
2026-04-01,S023,体育健身,89.58,微信
2026-04-01,S071,水果店,24.51,微信
2026-04-01,S109,图书文具,34.09,微信
2026-04-01,S077,食堂,13.16,微信
2026-04-01,S029,校园交通,3.96,支付宝
2026-04-01,S090,食堂,24.39,微信
2026-04-01,S020,食堂,12.01,校园卡
2026-04-01,S047,食堂,20.29,校园卡
2026-04-01,S056,校园交通,1.11,微信
2026-04-01,S099,食堂,16.05,校园卡
2026-04-01,S113,图书文具,33.65,支付宝
2026-04-01,S082,食堂,12.79,支付宝
2026-04-01,S045,食堂,6.36,支付宝
2026-04-01,S052,食堂,15.35,校园卡
2026-04-01,S064,食堂,10.07,支付宝
2026-04-01,S101,校园交通,2.20,校园卡
2026-04-01,S072,校园交通,4.68,校园卡
2026-04-01,S031,食堂,24.36,校园卡
2026-04-02,S036,饮料,14.07,支付宝
2026-04-02,S115,食堂,18.15,微信
2026-04-02,S006,水果店,17.60,微信
2026-04-02,S112,体育健身,8.72,微信
2026-04-02,S065,食堂,12.31,银行卡
2026-04-02,S058,图书文具,45.21,支付宝
2026-04-02,S058,图书文具,5.44,校园卡
2026-04-02,S078,饮料,4.68,微信
2026-04-02,S061,超市,8.75,微信
2026-04-02,S073,饮料,14.90,校园卡
2026-04-02,S073,打印复印,5.12,校园卡
2026-04-02,S091,饮料,8.31,微信
2026-04-02,S088,食堂,11.04,支付宝
2026-04-02,S117,食堂,22.10,银行卡
2026-04-02,S108,图书文具,28.28,微信
2026-04-02,S054,超市,36.33,微信
2026-04-02,S007,食堂,18.62,校园卡
2026-04-03,S087,图书文具,56.52,校园卡
2026-04-03,S048,饮料,7.78,支付宝
2026-04-03,S119,食堂,13.49,校园卡
2026-04-03,S120,水果店,27.58,微信
2026-04-03,S041,图书文具,28.13,校园卡
2026-04-03,S059,食堂,23.87,支付宝
2026-04-03,S047,水果店,40.14,支付宝
2026-04-03,S057,食堂,13.94,银行卡
2026-04-03,S003,超市,12.43,微信
2026-04-03,S083,食堂,19.62,支付宝
2026-04-03,S058,水果店,12.32,支付宝
2026-04-03,S047,超市,54.74,微信
2026-04-03,S088,超市,41.23,校园卡
2026-04-03,S054,饮料,7.29,微信
2026-04-03,S107,饮料,2.90,支付宝
2026-04-03,S014,校园交通,4.40,校园卡
2026-04-03,S066,饮料,12.63,微信
2026-04-03,S057,食堂,9.99,支付宝
2026-04-03,S034,水果店,9.95,微信
2026-04-03,S066,食堂,20.55,校园卡
2026-04-04,S047,食堂,23.86,微信
2026-04-04,S108,食堂,9.00,校园卡
2026-04-04,S036,超市,56.18,校园卡
2026-04-04,S032,饮料,7.08,微信
2026-04-04,S018,水果店,24.79,微信
2026-04-04,S042,超市,52.91,支付宝
2026-04-04,S095,图书文具,14.66,微信
2026-04-04,S021,食堂,10.32,微信
2026-04-04,S107,超市,29.71,微信
2026-04-04,S104,水果店,19.90,微信
2026-04-05,S077,打印复印,1.78,校园卡
2026-04-05,S039,图书文具,17.75,校园卡
2026-04-05,S054,图书文具,38.16,微信
2026-04-05,S120,超市,63.20,支付宝
2026-04-05,S084,食堂,18.16,校园卡
2026-04-05,S101,超市,47.08,微信
2026-04-05,S028,体育健身,54.96,校园卡
2026-04-05,S111,图书文具,17.87,校园卡
2026-04-05,S055,图书文具,6.63,微信
2026-04-05,S071,超市,54.42,微信
2026-04-06,S105,图书文具,14.03,校园卡
2026-04-06,S023,超市,32.06,微信
2026-04-06,S072,食堂,25.39,校园卡
2026-04-06,S100,食堂,12.73,校园卡
2026-04-06,S115,食堂,20.00,校园卡
2026-04-06,S030,打印复印,0.50,支付宝
2026-04-06,S023,水果店,15.72,支付宝
2026-04-06,S058,图书文具,74.58,支付宝
2026-04-06,S075,超市,24.35,微信
2026-04-06,S062,食堂,12.48,微信
2026-04-06,S106,食堂,19.11,微信
2026-04-06,S056,打印复印,0.66,校园卡
2026-04-06,S054,食堂,9.02,校园卡
2026-04-06,S058,食堂,11.37,校园卡
2026-04-06,S104,水果店,31.71,银行卡
2026-04-06,S002,超市,39.79,校园卡
2026-04-06,S096,食堂,13.78,校园卡
2026-04-06,S109,图书文具,24.64,支付宝
2026-04-07,S002,食堂,19.45,微信
2026-04-07,S084,打印复印,6.03,校园卡
2026-04-07,S024,超市,65.96,微信
2026-04-07,S047,食堂,21.11,支付宝
2026-04-07,S003,食堂,25.17,校园卡
2026-04-07,S088,超市,34.12,微信
2026-04-07,S090,食堂,19.07,支付宝
2026-04-07,S008,图书文具,28.04,支付宝
2026-04-07,S077,图书文具,44.79,支付宝
2026-04-07,S033,打印复印,0.50,支付宝
2026-04-07,S108,食堂,17.30,校园卡
2026-04-07,S063,图书文具,3.00,微信
2026-04-07,S060,超市,35.43,校园卡
2026-04-07,S031,食堂,30.93,微信
2026-04-07,S080,食堂,18.93,校园卡
2026-04-07,S088,图书文具,23.04,支付宝
2026-04-07,S083,食堂,15.93,校园卡
2026-04-08,S047,打印复印,7.55,微信
2026-04-08,S054,超市,63.15,微信
2026-04-08,S003,食堂,10.71,校园卡
2026-04-08,S028,水果店,10.59,微信
2026-04-08,S072,食堂,15.90,校园卡
2026-04-08,S088,超市,48.03,校园卡
2026-04-08,S109,水果店,23.88,校园卡
2026-04-08,S047,食堂,26.56,校园卡
2026-04-08,S057,超市,13.02,微信
2026-04-08,S025,校园交通,4.16,微信
2026-04-08,S005,食堂,11.37,微信
2026-04-08,S003,食堂,15.87,校园卡
2026-04-08,S063,超市,43.98,校园卡
2026-04-08,S020,食堂,6.87,微信
2026-04-08,S054,食堂,14.14,支付宝
2026-04-08,S097,打印复印,5.33,校园卡
2026-04-08,S030,图书文具,15.15,支付宝
2026-04-08,S054,超市,8.57,微信
2026-04-08,S014,食堂,19.98,微信
